month,wmf_region,total_active_editors
2023-08,Sub-Saharan Africa,1561
2023-09,,2959
2023-09,Central & Eastern Europe & Central Asia,11434
2023-09,"East, Southeast Asia, & Pacific",14347
2023-09,Latin America & Caribbean,5095
2023-09,Middle East & North Africa,3016
2023-09,North America,14136
2023-09,Northern & Western Europe,26022
2023-09,South Asia,3879
2023-09,Sub-Saharan Africa,1450
2023-10,,3050
2023-10,Central & Eastern Europe & Central Asia,11088
2023-10,"East, Southeast Asia, & Pacific",14543
2023-10,Latin America & Caribbean,5342
2023-10,Middle East & North Africa,2833
2023-10,North America,14900
2023-10,Northern & Western Europe,26617
2023-10,South Asia,3828
2023-10,Sub-Saharan Africa,1424
2023-10,UNCLASSED,1
2023-11,,3029
2023-11,Central & Eastern Europe & Central Asia,11492
2023-11,"East, Southeast Asia, & Pacific",14051
2023-11,Latin America & Caribbean,5331
2023-11,Middle East & North Africa,2749
2023-11,North America,15466
2023-11,Northern & Western Europe,27219
2023-11,South Asia,3581
2023-11,Sub-Saharan Africa,1312
2023-12,,2958
2023-12,Central & Eastern Europe & Central Asia,11562
2023-12,"East, Southeast Asia, & Pacific",14273
2023-12,Latin America & Caribbean,5418
2023-12,Middle East & North Africa,2911
2023-12,North America,15107
2023-12,Northern & Western Europe,26602
2023-12,South Asia,3891
2023-12,Sub-Saharan Africa,1426
2024-01,,3253
2024-01,Central & Eastern Europe & Central Asia,12461
2024-01,"East, Southeast Asia, & Pacific",14890
2024-01,Latin America & Caribbean,5643
2024-01,Middle East & North Africa,3151
2024-01,North America,15551
2024-01,Northern & Western Europe,28493
2024-01,South Asia,4042
2024-01,Sub-Saharan Africa,1337
2024-02,,3016
2024-02,Central & Eastern Europe & Central Asia,11641
2024-02,"East, Southeast Asia, & Pacific",13820
2024-02,Latin America & Caribbean,5193
2024-02,Middle East & North Africa,2850
2024-02,North America,14931
2024-02,Northern & Western Europe,27593
2024-02,South Asia,3883
2024-02,Sub-Saharan Africa,1145
2024-02,UNCLASSED,0
